CycPeptMPDB_ID,Original_Name_in_Source_Literature,Source,Structurally_Unique_ID,SMILES,PAMPA,Normalized_Name,log_path,avgRMSD_all,avgRMSD_bb
5727,L1_1.3.1.3.3.1,2021_Kelly,5727,CC(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H]1C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)O[C@@H]1C,-5.42,L1_1.3.1.3.3.1,/media/liuwei/1T/water/pdb_log/2021_Kelly/Kelly_5727.log,0.088232,0.0513944
4637,hepta_1060,2020_Townsend,4637,CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N[C@H](CC(C)C)C(=O)N1C,-6.38,hepta_1060,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_1060.log,0.0883625,0.0461425
4386,hepta_809,2020_Townsend,4386,CCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,-6.48,hepta_809,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_809.log,0.0885238,0.0440006
5528,hepta_1951,2020_Townsend,5528,CC(C)C[C@H]1C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@H](C)C(=O)N(C)[C@H](CC(C)C)C(=O)N1C,-5.56,hepta_1951,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_1951.log,0.0885544,0.0359804
4420,hepta_843,2020_Townsend,4420,CCCN1CC(=O)N[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,-5.07,hepta_843,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_843.log,0.0885569,0.0346704
4405,hepta_828,2020_Townsend,4405,CCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,-5.88,hepta_828,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_828.log,0.0885579,0.0415756
5573,hepta_1996,2020_Townsend,5573,CC(C)C[C@H]1C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N1C,-5.31,hepta_1996,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_1996.log,0.0885749,0.0456251
4237,hepta_660,2020_Townsend,4237,CC(C)C[C@H]1NC(=O)[C@H](C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccccc2)C(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)N(C)C1=O,-5.36,hepta_660,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_660.log,0.0890267,0.0458428
3673,hepta_96,2020_Townsend,3673,CC(C)C[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-6.56,hepta_96,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_96.log,0.0891684,0.0362497
4576,hepta_999,2020_Townsend,4576,CC(C)C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC1=O,-6.73,hepta_999,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_999.log,0.0893475,0.0407541
4306,hepta_729,2020_Townsend,4306,CC(C)C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC1=O,-5.94,hepta_729,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_729.log,0.0894745,0.0377271
4098,hepta_521,2020_Townsend,4098,CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](C)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N1C,-5.75,hepta_521,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_521.log,0.0894882,0.0357911
4487,hepta_910,2020_Townsend,4487,CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@H](C)C(=O)N[C@H](CC(C)C)C(=O)N1C,-6.51,hepta_910,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_910.log,0.0896497,0.0489218
6980,L3_4.4.3.4.1,2021_Kelly,6980,CC(=O)N1CCC[C@H]1C(=O)N[C@@H]1C(=O)N[C@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)O[C@@H]1C,-5.23,L3_4.4.3.4.1,/media/liuwei/1T/water/pdb_log/2021_Kelly/Kelly_6980.log,0.0897646,0.0468389
5521,hepta_1944,2020_Townsend,5521,CC(C)C[C@H]1NC(=O)[C@@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)N(C)C1=O,-10,hepta_1944,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_1944.log,0.0897752,0.041701
4840,hepta_1263,2020_Townsend,4840,CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N1C,-5.11,hepta_1263,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_1263.log,0.0898658,0.0363003
4782,hepta_1205,2020_Townsend,4782,CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N1C,-5.34,hepta_1205,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_1205.log,0.0899667,0.0454303
5554,hepta_1977,2020_Townsend,5554,CC(C)C[C@H]1C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N1C,-5.81,hepta_1977,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_1977.log,0.0900949,0.0459602
4773,hepta_1196,2020_Townsend,4773,CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N1C,-5.41,hepta_1196,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_1196.log,0.09047,0.0415142
3612,hepta_35,2020_Townsend,3612,CCCN1CC(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C1=O,-5.02,hepta_35,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_35.log,0.090644,0.0370509
3654,hepta_77,2020_Townsend,3654,CC(C)C[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-10,hepta_77,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_77.log,0.0909762,0.0431894
3869,hepta_292,2020_Townsend,3869,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccccc2)C(=O)[C@H]2CCCN2C1=O,-5.51,hepta_292,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_292.log,0.0909962,0.0460778
5430,hepta_1853,2020_Townsend,5430,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H]2CCCN2C1=O,-6.18,hepta_1853,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_1853.log,0.0910472,0.0393802
6874,L3_1.2.3.1.1,2021_Kelly,6874,CC(=O)N1CCC[C@H]1C(=O)N[C@@H]1C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)O[C@@H]1C,-5.83,L3_1.2.3.1.1,/media/liuwei/1T/water/pdb_log/2021_Kelly/Kelly_6874.log,0.0910664,0.0412017
4053,hepta_476,2020_Townsend,4053,CC(C)C[C@H]1C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](C)C(=O)N1C,-4.9,hepta_476,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_476.log,0.0911824,0.0323929
5279,hepta_1702,2020_Townsend,5279,CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,-5.72,hepta_1702,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_1702.log,0.0913168,0.0404484
6927,L3_3.1.1.3.1,2021_Kelly,6927,CC(=O)N1CCC[C@H]1C(=O)N[C@@H]1C(=O)N[C@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)O[C@@H]1C,-5.8,L3_3.1.1.3.1,/media/liuwei/1T/water/pdb_log/2021_Kelly/Kelly_6927.log,0.09132,0.0414105
4836,hepta_1259,2020_Townsend,4836,CC(C)C[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-6.01,hepta_1259,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_1259.log,0.0915482,0.0413593
5474,hepta_1897,2020_Townsend,5474,CC(C)C[C@@H]1C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](C)C(=O)N1C,-5.2,hepta_1897,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_1897.log,0.0917847,0.042774
4031,hepta_454,2020_Townsend,4031,CC(C)C[C@@H]1C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](C)C(=O)N1C,-5.39,hepta_454,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_454.log,0.0918021,0.0389136
4307,hepta_730,2020_Townsend,4307,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H]2CCCN2C1=O,-5.23,hepta_730,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_730.log,0.091825,0.0377376
5303,hepta_1726,2020_Townsend,5303,CCCN1CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C1=O,-5.1,hepta_1726,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_1726.log,0.0920991,0.0345927
3770,hepta_193,2020_Townsend,3770,CC(C)C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C1=O,-5.58,hepta_193,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_193.log,0.0921238,0.046478
3818,hepta_241,2020_Townsend,3818,CC(C)C[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-10,hepta_241,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_241.log,0.0921804,0.0447724
3759,hepta_182,2020_Townsend,3759,CC(C)C[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-5.87,hepta_182,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_182.log,0.0922496,0.0401947
3949,hepta_372,2020_Townsend,3949,CC(C)C[C@H]1C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N1C,-5.34,hepta_372,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_372.log,0.0924642,0.044794
3834,hepta_257,2020_Townsend,3834,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H]2CCCN2C1=O,-6.25,hepta_257,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_257.log,0.0927041,0.0396725
4162,hepta_585,2020_Townsend,4162,CC(C)C[C@H]1NC(=O)[C@@H]2CCCN2C(=O)C[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,-5.55,hepta_585,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_585.log,0.0928001,0.038786
3839,hepta_262,2020_Townsend,3839,CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](C)C(=O)N[C@H](CC(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N1C,-5.75,hepta_262,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_262.log,0.0928469,0.044036
4861,hepta_1284,2020_Townsend,4861,CC(C)C[C@H]1C(=O)N(C)[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@H](C)C(=O)N1C,-5.16,hepta_1284,/media/liuwei/1T/water/pdb_log/2020_Townsend/hepta_1284.log,0.0929857,0.0345422
