CycPeptMPDB_ID,Source,Original_Name_in_Source_Literature,Monomer_Length,Molecule_Shape,Water_avgRMSD_All,Water_avgRMSD_BackBone,Desolvation_Free_Energy,Water_3D_SASA,Water_3D_NPSA,Water_3D_PSA,Hexane_avgRMSD_All,Hexane_avgRMSD_BackBone,Hexane_3D_SASA,Hexane_3D_NPSA,Hexane_3D_PSA
1141,2016_Furukawa,1.1-08,6,Circle,0.145302,0.0595251,-16.9482,8.356,7.23,1.126,0.135619,0.042128,8.28,7.243,1.037
1142,2016_Furukawa,1.1-09,6,Circle,0.165237,0.0474075,-21.5477,8.305,7.177,1.128,0.161884,0.0513355,8.269,7.168,1.101
1143,2016_Furukawa,1.1-10,6,Circle,0.167853,0.0526772,-24.6089,8.406,7.139,1.267,0.148434,0.0429763,8.256,7.077,1.179
1144,2016_Furukawa,1.1-11,6,Circle,0.178789,0.0610923,-27.6952,8.278,6.959,1.319,0.177298,0.0431256,8.178,6.884,1.294
1145,2016_Furukawa,1.1-12,6,Circle,0.160653,0.0441561,-28.884,8.312,6.809,1.503,0.150984,0.0393581,7.989,6.629,1.36
1146,2016_Furukawa,1.1-13,6,Circle,0.168183,0.0575652,-20.9083,8.255,7.171,1.084,0.149977,0.0422848,8.156,7.134,1.022
1147,2016_Furukawa,1.1-14,6,Circle,0.139574,0.0460418,-21.3838,8.38,7.245,1.135,0.16234,0.0462968,8.242,7.004,1.238
1148,2016_Furukawa,1.1-15,6,Circle,0.111133,0.0419997,-17.1538,8.588,7.459,1.129,0.125756,0.044254,8.49,7.385,1.105
1149,2016_Furukawa,1.1-16,6,Circle,0.102768,0.0406188,-20.5608,8.511,7.273,1.238,0.140973,0.0460571,8.235,7.095,1.14
1150,2016_Furukawa,1.1-17,6,Circle,0.155873,0.0529378,-18.1046,8.641,7.58,1.061,0.146157,0.0404932,8.567,7.548,1.019
1151,2016_Furukawa,1.1-18,6,Circle,0.118706,0.0458934,-24.057,8.008,6.907,1.101,0.142588,0.0400133,8.287,7.217,1.07
1152,2016_Furukawa,1.1-19,6,Circle,0.167471,0.0559546,-20.395,8.755,7.671,1.084,0.179398,0.0415186,8.649,7.647,1.002
1153,2016_Furukawa,1.1-20,6,Circle,0.168575,0.0550764,-22.2235,8.654,7.56,1.094,0.149954,0.0418132,8.639,7.562,1.077
1154,2016_Furukawa,1.1-21,6,Circle,0.18881,0.0547607,-26.1231,8.884,7.569,1.315,0.164461,0.0397339,8.557,7.383,1.174
1155,2016_Furukawa,1.1-22,6,Circle,0.184782,0.0551682,-21.4669,8.557,7.504,1.053,0.166814,0.0407477,8.278,7.288,0.99
1156,2016_Furukawa,1.1-23,6,Circle,0.174333,0.0611541,-28.2964,8.642,7.209,1.433,0.115227,0.0393176,8.126,6.867,1.259
1157,2016_Furukawa,1.1-24,6,Circle,0.112556,0.038019,-17.1862,8.829,7.764,1.065,0.138185,0.0402549,8.626,7.532,1.094
1158,2016_Furukawa,1.1-25,6,Circle,0.134848,0.041105,-21.5022,8.779,7.57,1.209,0.128678,0.0425131,8.539,7.414,1.125
1159,2016_Furukawa,1.1-26,6,Circle,0.160192,0.0543838,-22.7676,8.454,7.438,1.016,0.168774,0.0412898,8.486,7.47,1.016
1160,2016_Furukawa,1.1-27,6,Circle,0.154825,0.0409254,-22.1082,8.704,7.576,1.128,0.149344,0.0409831,8.606,7.526,1.08
1161,2016_Furukawa,1.1-28,6,Circle,0.164483,0.0561084,-20.7377,8.854,7.806,1.048,0.189685,0.0405066,8.802,7.82,0.982
1162,2016_Furukawa,1.1-29,6,Circle,0.166475,0.0393732,-21.5811,8.897,7.846,1.051,0.169595,0.0410276,8.862,7.785,1.077
1163,2016_Furukawa,1.1-30,6,Circle,0.167328,0.0419218,-18.1828,8.883,7.818,1.065,0.180288,0.0403023,8.769,7.781,0.988
1164,2016_Furukawa,1.1-31,6,Circle,0.183503,0.0600505,-25.4676,8.713,7.587,1.126,0.145726,0.0386006,8.398,7.426,0.972
1165,2016_Furukawa,1.1-32,6,Circle,0.181433,0.0466222,-26.1044,8.875,7.541,1.334,0.179834,0.045787,8.718,7.458,1.26
1166,2016_Furukawa,1.1-33,6,Circle,0.168844,0.0432489,-21.5756,8.833,7.816,1.017,0.173151,0.0408763,8.68,7.738,0.942
1167,2016_Furukawa,1.1-34,6,Circle,0.115527,0.0440204,-17.6965,8.929,7.829,1.1,0.107381,0.0353235,8.846,7.874,0.972
1168,2016_Furukawa,1.1-35,6,Circle,0.158828,0.0408408,-22.1383,8.848,7.663,1.185,0.130046,0.0468788,8.791,7.683,1.108
1169,2016_Furukawa,1.1-36,6,Circle,0.21519,0.0481678,-23.4497,8.917,7.848,1.069,0.133196,0.037702,8.892,7.811,1.081
1170,2016_Furukawa,1.1-37,6,Circle,0.205216,0.0435869,-20.6158,9.2,8.194,1.006,0.208697,0.0399834,9.189,8.22,0.969
1171,2016_Furukawa,1.1-38,6,Circle,0.18564,0.042039,-22.4931,9.275,8.171,1.104,0.141406,0.0389143,9.147,8.132,1.015
1172,2016_Furukawa,1.1-39,6,Circle,0.212731,0.0467488,-23.8812,9.262,8.081,1.181,0.196268,0.0423628,9.062,7.952,1.11
1173,2016_Furukawa,1.1-40,6,Circle,0.200983,0.0424045,-26.0622,9.095,7.817,1.278,0.169074,0.0379786,8.852,7.545,1.307
1174,2016_Furukawa,1.2-01,6,Circle,0.135147,0.0643544,-23.6071,7.877,6.548,1.329,0.0905853,0.0363216,7.759,6.544,1.215
1175,2016_Furukawa,1.2-02,6,Circle,0.134662,0.057984,-17.7549,8.14,6.946,1.194,0.128773,0.0407458,8.148,6.99,1.158
1176,2016_Furukawa,1.2-03,6,Circle,0.154309,0.0591477,-22.3981,8.088,6.912,1.176,0.146174,0.0371129,7.888,6.79,1.098
1177,2016_Furukawa,1.2-04,6,Circle,0.100601,0.0434056,-17.4842,8.37,7.185,1.185,0.122194,0.0420874,8.266,7.091,1.175
1178,2016_Furukawa,1.2-05,6,Circle,0.126251,0.0501975,-21.4433,8.132,6.85,1.282,0.110031,0.0419986,8.153,6.874,1.279
1179,2016_Furukawa,1.2-06,6,Circle,0.146722,0.0614492,-21.0549,8.306,7.072,1.234,0.132438,0.0435681,8.275,7.109,1.166
1180,2016_Furukawa,1.2-07,6,Circle,0.150882,0.0591648,-23.9935,7.996,6.831,1.165,0.113195,0.0329337,7.824,6.725,1.099
1181,2016_Furukawa,1.2-08,6,Circle,0.150594,0.0588264,-17.1103,8.491,7.354,1.137,0.143614,0.0458892,8.533,7.48,1.053
1182,2016_Furukawa,1.2-09,6,Circle,0.169766,0.0520378,-23.3257,8.456,7.289,1.167,0.161146,0.0427557,8.505,7.375,1.13
1183,2016_Furukawa,1.2-10,6,Circle,0.176606,0.0662524,-23.7536,8.378,7.184,1.194,0.178967,0.0571262,8.145,6.954,1.191
1184,2016_Furukawa,1.2-11,6,Circle,0.180443,0.06242,-26.0605,8.48,7.185,1.295,0.138409,0.0431047,7.952,6.867,1.085
1185,2016_Furukawa,1.2-12,6,Circle,0.168797,0.0394056,-28.8903,8.625,7.093,1.532,0.178531,0.043486,8.369,6.931,1.438
1186,2016_Furukawa,1.2-13,6,Circle,0.157068,0.0579528,-20.4179,8.401,7.334,1.067,0.146808,0.0401122,8.314,7.322,0.992
1187,2016_Furukawa,1.2-14,6,Circle,0.158279,0.060715,-21.4865,8.602,7.433,1.169,0.15357,0.0389824,8.535,7.397,1.138
1188,2016_Furukawa,1.2-15,6,Circle,0.139893,0.055103,-17.1077,8.503,7.399,1.104,0.145602,0.0676958,8.681,7.536,1.145
1189,2016_Furukawa,1.2-16,6,Circle,0.11476,0.0425739,-20.1644,8.737,7.49,1.247,0.127949,0.0455208,8.583,7.42,1.163
1190,2016_Furukawa,1.2-17,6,Circle,0.15695,0.0563781,-16.6972,8.854,7.795,1.059,0.150149,0.0393808,8.744,7.747,0.997
1191,2016_Furukawa,1.2-18,6,Circle,0.110174,0.0432064,-22.7059,8.286,7.193,1.093,0.143825,0.0406568,8.392,7.355,1.037
1192,2016_Furukawa,1.2-19,6,Circle,0.176029,0.0568115,-19.3267,8.915,7.841,1.074,0.184166,0.042176,8.821,7.831,0.99
1193,2016_Furukawa,1.2-20,6,Circle,0.190129,0.0609871,-21.9504,8.803,7.692,1.111,0.165274,0.044138,8.807,7.727,1.08
1194,2016_Furukawa,1.2-21,6,Circle,0.158237,0.0537892,-26.1438,8.713,7.462,1.251,0.119412,0.0387118,8.298,7.327,0.971
1195,2016_Furukawa,1.2-22,6,Circle,0.183205,0.0562551,-21.0044,8.797,7.72,1.077,0.17572,0.0397182,8.573,7.571,1.002
1196,2016_Furukawa,1.2-23,6,Circle,0.164576,0.0487258,-25.2644,8.998,7.592,1.406,0.175532,0.0445422,8.67,7.405,1.265
1197,2016_Furukawa,1.2-24,6,Circle,0.137188,0.0426022,-17.0874,9.071,7.962,1.109,0.149404,0.0435704,8.912,7.892,1.02
1198,2016_Furukawa,1.2-25,6,Circle,0.140725,0.040809,-20.0621,8.905,7.719,1.186,0.158986,0.0447769,8.812,7.667,1.145
1199,2016_Furukawa,1.2-26,6,Circle,0.166733,0.0562237,-22.309,8.619,7.594,1.025,0.164766,0.0509292,8.807,7.776,1.031
1200,2016_Furukawa,1.2-27,6,Circle,0.151611,0.0439992,-20.3442,8.88,7.736,1.144,0.120066,0.0430148,8.809,7.736,1.073
1201,2016_Furukawa,1.2-28,6,Circle,0.149809,0.0483185,-20.4312,9.092,8.078,1.014,0.194719,0.0441298,9.171,8.156,1.015
1202,2016_Furukawa,1.2-29,6,Circle,0.192984,0.0483023,-21.2586,9.125,8.053,1.072,0.179092,0.0436956,9.054,8.015,1.039
1203,2016_Furukawa,1.2-30,6,Circle,0.156188,0.0415836,-18.0089,9.211,8.155,1.056,0.174154,0.0444678,9.012,8.045,0.967
1204,2016_Furukawa,1.2-31,6,Circle,0.196731,0.0522418,-25.599,9.376,8.119,1.257,0.195015,0.0407936,8.961,7.84,1.121
1205,2016_Furukawa,1.2-32,6,Circle,0.183352,0.0510701,-26.2352,9.128,7.78,1.348,0.142951,0.0425098,9.011,7.744,1.267
1206,2016_Furukawa,1.2-33,6,Circle,0.179528,0.04408,-20.5188,9.023,8.031,0.992,0.125879,0.0404156,9.007,8.002,1.005
1207,2016_Furukawa,1.2-34,6,Circle,0.154424,0.037396,-17.2649,9.176,8.111,1.065,0.130115,0.0455567,9.06,8.044,1.016
1208,2016_Furukawa,1.2-35,6,Circle,0.128159,0.0412206,-19.7969,9.065,7.892,1.173,0.174068,0.0370338,8.917,7.858,1.059
1209,2016_Furukawa,1.2-36,6,Circle,0.193676,0.0476569,-20.3591,9.043,7.995,1.048,0.130705,0.0393799,9.079,8.002,1.077
1210,2016_Furukawa,1.2-37,6,Circle,0.203559,0.0426102,-19.6921,9.523,8.506,1.017,0.188599,0.0404438,9.469,8.5,0.969
1211,2016_Furukawa,1.2-38,6,Circle,0.181112,0.0521427,-19.7627,9.271,8.24,1.031,0.13972,0.0416329,9.382,8.37,1.012
1212,2016_Furukawa,1.2-39,6,Circle,0.183376,0.0429368,-22.6384,9.443,8.314,1.129,0.163079,0.0393214,9.404,8.295,1.109
1213,2016_Furukawa,1.2-40,6,Circle,0.208494,0.0416243,-26.3387,9.342,8.07,1.272,0.104598,0.0368408,9.162,7.991,1.171
1214,2016_Furukawa,1.3-01,6,Circle,0.11258,0.0515876,-24.2308,7.952,6.596,1.356,0.112806,0.0380437,8.035,6.765,1.27
1215,2016_Furukawa,1.3-02,6,Circle,0.142229,0.0575286,-18.673,8.374,7.114,1.26,0.106748,0.0330932,8.098,7.028,1.07
1216,2016_Furukawa,1.3-03,6,Circle,0.151178,0.0624988,-24.1446,8.268,7.017,1.251,0.154816,0.0410538,8.077,6.973,1.104
1217,2016_Furukawa,1.3-04,6,Circle,0.134005,0.0614655,-19.3996,8.435,7.212,1.223,0.114026,0.0414701,8.202,7.12,1.082
1218,2016_Furukawa,1.3-05,6,Circle,0.118529,0.0472801,-21.699,8.499,7.152,1.347,0.113846,0.0386961,8.3,7.001,1.299
1219,2016_Furukawa,1.3-06,6,Circle,0.119661,0.0505715,-21.9737,8.312,7.058,1.254,0.132657,0.0473568,8.444,7.275,1.169
1220,2016_Furukawa,1.3-07,6,Circle,0.149791,0.0541406,-24.5044,8.215,6.979,1.236,0.120736,0.0350998,8.029,6.923,1.106
1221,2016_Furukawa,1.3-08,6,Circle,0.141565,0.0601841,-17.5368,8.715,7.525,1.19,0.13769,0.0434946,8.751,7.68,1.071
1222,2016_Furukawa,1.3-09,6,Circle,0.176131,0.0539165,-21.9058,8.849,7.632,1.217,0.180189,0.0457862,8.624,7.521,1.103
1223,2016_Furukawa,1.3-10,6,Circle,0.186687,0.0611105,-24.6803,8.554,7.334,1.22,0.139873,0.0360953,8.469,7.344,1.125
1224,2016_Furukawa,1.3-11,6,Circle,0.180631,0.0597464,-26.5711,8.659,7.318,1.341,0.165253,0.0388914,8.366,7.238,1.128
1225,2016_Furukawa,1.3-12,6,Circle,0.171129,0.0527835,-26.7458,8.568,7.13,1.438,0.150139,0.0476588,8.529,7.127,1.402
1226,2016_Furukawa,1.3-13,6,Circle,0.16849,0.0591116,-21.2203,8.593,7.448,1.145,0.16587,0.0421758,8.559,7.526,1.033
1227,2016_Furukawa,1.3-14,6,Circle,0.158031,0.0548859,-20.7493,8.747,7.631,1.116,0.149344,0.042884,8.714,7.587,1.127
1228,2016_Furukawa,1.3-15,6,Circle,0.111182,0.043401,-15.9709,9.037,7.884,1.153,0.122589,0.0441546,8.969,7.851,1.118
1229,2016_Furukawa,1.3-16,6,Circle,0.160548,0.0571958,-19.5808,8.846,7.606,1.24,0.12299,0.0430922,8.83,7.598,1.232
1230,2016_Furukawa,1.3-17,6,Circle,0.164082,0.058643,-17.2515,9.025,7.914,1.111,0.155191,0.0390498,8.852,7.881,0.971
1231,2016_Furukawa,1.3-18,6,Circle,0.106203,0.035442,-23.2666,8.423,7.264,1.159,0.146921,0.042196,8.564,7.508,1.056
1232,2016_Furukawa,1.3-19,6,Circle,0.17637,0.0576635,-20.6802,9.146,7.999,1.147,0.165491,0.0379904,8.817,7.88,0.937
1233,2016_Furukawa,1.3-20,6,Circle,0.181155,0.0614937,-22.4848,9.024,7.865,1.159,0.160181,0.0489636,8.952,7.861,1.091
1234,2016_Furukawa,1.3-21,6,Circle,0.163967,0.0529291,-25.1283,8.928,7.649,1.279,0.159804,0.0413599,8.824,7.662,1.162
1235,2016_Furukawa,1.3-22,6,Circle,0.174971,0.044528,-20.3244,9.056,7.967,1.089,0.134184,0.0388247,8.682,7.67,1.012
1236,2016_Furukawa,1.3-23,6,Circle,0.181161,0.0605228,-28.6136,9.075,7.544,1.531,0.101123,0.0359883,8.597,7.414,1.183
1237,2016_Furukawa,1.3-24,6,Circle,0.132393,0.0408216,-16.7004,9.254,8.124,1.13,0.144071,0.0392392,9.117,8.03,1.087
1238,2016_Furukawa,1.3-25,6,Circle,0.130799,0.0384688,-20.1391,9.173,7.951,1.222,0.153482,0.0419762,9.044,7.827,1.217
1239,2016_Furukawa,1.3-26,6,Circle,0.194597,0.0552036,-22.1646,9.009,7.893,1.116,0.165361,0.0381058,8.866,7.847,1.019
1240,2016_Furukawa,1.3-27,6,Circle,0.161519,0.0397847,-21.839,9.068,7.958,1.11,0.109772,0.0413012,8.962,7.885,1.077
1241,2016_Furukawa,1.3-28,6,Circle,0.165426,0.053647,-19.5549,9.253,8.21,1.043,0.154967,0.0404454,9.479,8.441,1.038
1242,2016_Furukawa,1.3-29,6,Circle,0.206889,0.0620779,-20.9061,9.258,8.174,1.084,0.201085,0.043552,9.284,8.162,1.122
1243,2016_Furukawa,1.3-30,6,Circle,0.176691,0.0469816,-16.4997,9.297,8.229,1.068,0.128636,0.042623,9.055,8.106,0.949
1244,2016_Furukawa,1.3-31,6,Circle,0.176191,0.0543011,-25.1885,9.161,7.944,1.217,0.225668,0.0485447,9.277,8.089,1.188
1245,2016_Furukawa,1.3-32,6,Circle,0.20214,0.0521737,-27.62,9.442,8.187,1.255,0.153187,0.040171,9.19,7.917,1.273
1246,2016_Furukawa,1.3-33,6,Circle,0.121466,0.0391528,-20.1006,9.255,8.256,0.999,0.176067,0.0446476,9.198,8.186,1.012
1247,2016_Furukawa,1.3-34,6,Circle,0.130987,0.0378132,-17.3726,9.49,8.452,1.038,0.124558,0.0444927,9.35,8.293,1.057
1248,2016_Furukawa,1.3-35,6,Circle,0.153414,0.0399786,-21.1328,9.264,8.066,1.198,0.113147,0.0368238,9.364,8.123,1.241
1249,2016_Furukawa,1.3-36,6,Circle,0.190794,0.0457396,-21.7717,9.263,8.219,1.044,0.126039,0.0440322,9.374,8.319,1.055
1250,2016_Furukawa,1.3-37,6,Circle,0.193492,0.0439373,-20.4006,9.724,8.695,1.029,0.143787,0.0488066,9.637,8.631,1.006
1251,2016_Furukawa,1.3-38,6,Circle,0.173532,0.0461613,-18.5144,9.444,8.439,1.005,0.15959,0.048878,9.638,8.533,1.105
1252,2016_Furukawa,1.3-39,6,Circle,0.193751,0.0489158,-23.1018,9.735,8.5,1.235,0.162906,0.0442828,9.44,8.324,1.116
