CycPeptMPDB_ID,Source,SMILES,Original_Name_in_Source_Literature,Structurally_Unique_ID,PAMPA,Monomer_Length,Monomer_Length_in_Main_Chain,Molecule_Shape,Water_avgRMSD_All,Water_avgRMSD_BackBone,Desolvation_Free_Energy,Water_3D_SASA,Water_3D_NPSA,Water_3D_PSA,Hexane_avgRMSD_All,Hexane_avgRMSD_BackBone,Hexane_3D_SASA,Hexane_3D_NPSA,Hexane_3D_PSA,Water_RepFrame,Hexane_RepFrame,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9
5581,2020_Townsend,CC(C)C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccccc2)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C1=O,hepta_2004,5581,-5.58,7,7,Circle,0.140128,0.0474574,-39.5656,9.18,7.97,1.21,0.149358,0.0417232,9.44,8.303,1.137,61,71,train,test,train,train,train,train,train,train,train,train
5580,2020_Townsend,CC(C)C[C@@H]1NC(=O)CN(Cc2ccccc2)C(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H]2CCCN2C1=O,hepta_2003,5580,-10.0,7,7,Circle,0.153288,0.0485831,-42.9233,9.534,8.23,1.304,0.172372,0.063616,9.22,7.98,1.24,25,55,train,train,train,train,train,val,train,train,train,train
5579,2020_Townsend,CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N1C,hepta_2002,5579,-5.32,7,7,Circle,0.12801,0.0464981,-27.6921,9.054,7.841,1.213,0.118561,0.0485869,8.878,7.756,1.122,70,14,train,train,train,train,train,train,test,train,train,train
5578,2020_Townsend,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccccc2)C(=O)[C@H]2CCCN2C1=O,hepta_2001,5578,-5.7,7,7,Circle,0.130318,0.0461431,-27.2022,9.098,8.005,1.093,0.123787,0.0502976,9.017,8.041,0.976,3,40,train,train,test,test,train,train,train,train,train,train
5577,2020_Townsend,CC(C)C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccccc2)C(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)N(C)C1=O,hepta_2000,5577,-5.71,7,7,Circle,0.143786,0.0581445,-23.7521,8.969,7.783,1.186,0.126232,0.0429714,9.01,7.829,1.181,10,78,train,train,train,train,train,train,train,train,train,train
5576,2020_Townsend,CC(C)C[C@H]1C(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N(Cc2ccccc2)CC(=O)N1C,hepta_1999,5576,-10.0,7,7,Circle,0.164124,0.0388506,-35.0756,9.253,8.071,1.182,0.143722,0.0449244,9.152,8.012,1.14,57,51,train,test,val,val,val,test,test,test,train,test
5573,2020_Townsend,CC(C)C[C@H]1C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N1C,hepta_1996,5573,-5.31,7,7,Circle,0.139459,0.0456251,-34.8494,9.137,7.92,1.217,0.132757,0.037156,9.019,8.112,0.907,33,56,train,train,test,train,train,train,train,train,train,train
5572,2020_Townsend,CC(C)C[C@H]1C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H](CC(C)C)C(=O)N1C,hepta_1995,5572,-5.45,7,7,Circle,0.104808,0.035117,-17.7224,8.934,7.889,1.045,0.138021,0.0408309,9.197,8.162,1.035,43,100,val,train,train,train,train,train,train,val,train,train
5571,2020_Townsend,CC(C)C[C@H]1NC(=O)[C@H]2CCCN2C(=O)CN(Cc2ccccc2)C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,hepta_1994,5571,-5.41,7,7,Circle,0.143771,0.0527869,-32.4729,8.645,7.627,1.018,0.141144,0.0504158,8.988,7.747,1.241,3,65,train,train,train,train,train,train,train,train,train,train
5569,2020_Townsend,CC(C)C[C@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H]2CCCN2C(=O)CN(Cc2ccccc2)C1=O,hepta_1992,5569,-10.0,7,7,Circle,0.161318,0.0573855,-36.1116,9.116,7.918,1.198,0.139575,0.0578577,9.129,7.944,1.185,62,40,train,train,val,train,test,val,train,train,train,train
5568,2020_Townsend,CC(C)C[C@H]1NC(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)N(C)C(=O)CN(Cc2ccccc2)C(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,hepta_1991,5568,-10.0,7,7,Circle,0.150131,0.050468,-34.5464,9.451,8.285,1.166,0.114944,0.0370603,8.938,7.691,1.247,4,93,train,train,train,train,train,test,train,train,train,train
5567,2020_Townsend,CC(C)C[C@H]1C(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H](CC(C)C)C(=O)N1C,hepta_1990,5567,-5.2,7,7,Circle,0.132715,0.0360515,-29.5856,9.144,8.103,1.041,0.132546,0.0420636,9.106,8.094,1.012,53,47,train,train,train,train,train,train,train,train,train,train
5566,2020_Townsend,CC(C)C[C@@H]1NC(=O)[C@H]2CCCN2C(=O)CN(Cc2ccccc2)C(=O)[C@H](CC(C)C)NC(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,hepta_1989,5566,-10.0,7,7,Circle,0.165181,0.067183,-38.744,9.36,8.02,1.34,0.163538,0.0493415,8.691,7.55,1.141,66,85,train,train,test,train,val,train,val,train,test,train
5565,2020_Townsend,CC(C)C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C1=O,hepta_1988,5565,-5.21,7,7,Circle,0.187259,0.0929399,-29.4727,9.032,7.975,1.057,0.147398,0.0521237,9.07,8.0,1.07,41,79,train,train,train,train,val,train,val,train,train,train
5564,2020_Townsend,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccccc2)C(=O)[C@H]2CCCN2C1=O,hepta_1987,5564,-10.0,7,7,Circle,0.265589,0.127621,-35.5978,9.181,7.965,1.216,0.21844,0.0951669,8.894,7.784,1.11,39,4,train,train,train,train,train,train,train,test,test,train
5563,2020_Townsend,CC(C)C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccccc2)C(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)NC1=O,hepta_1986,5563,-5.82,7,7,Circle,0.167127,0.0600707,-29.639,9.194,7.854,1.34,0.147316,0.0485324,9.024,7.851,1.173,16,46,train,test,train,train,train,train,train,train,train,train
5562,2020_Townsend,CC(C)C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H]2CCCN2C(=O)CN(Cc2ccccc2)C1=O,hepta_1985,5562,-5.77,7,7,Circle,0.131042,0.0483887,-33.9599,9.265,8.086,1.179,0.147337,0.0393605,8.715,7.527,1.188,98,17,val,train,val,train,test,train,val,train,train,train
5561,2020_Townsend,CC(C)C[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H]2CCCN2C1=O,hepta_1984,5561,-5.51,7,7,Circle,0.109592,0.0455136,-28.6648,9.15,7.901,1.249,0.119725,0.0444664,8.943,7.904,1.039,94,65,train,train,test,train,train,val,test,train,train,train
5560,2020_Townsend,CC(C)C[C@H]1C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N[C@H](CC(C)C)C(=O)N1C,hepta_1983,5560,-5.43,7,7,Circle,0.139248,0.0456525,-26.7409,9.065,7.884,1.181,0.235744,0.12722,9.046,7.917,1.129,35,48,train,test,train,train,train,train,train,train,test,test
5559,2020_Townsend,CC(C)C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)N(C)C1=O,hepta_1982,5559,-6.1,7,7,Circle,0.16377,0.070883,-21.9794,9.058,7.94,1.118,0.149858,0.0446439,8.995,8.017,0.978,82,22,train,train,train,train,train,train,train,train,train,train
5558,2020_Townsend,CC(C)C[C@H]1C(=O)N(C)[C@@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N1C,hepta_1981,5558,-5.68,7,7,Circle,0.146109,0.0450741,-30.4494,9.331,8.075,1.256,0.128027,0.0494054,9.267,8.101,1.166,70,46,train,train,train,train,train,train,train,train,train,train
5557,2020_Townsend,CC(C)C[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,hepta_1980,5557,-10.0,7,7,Circle,0.109653,0.0452458,-29.3592,9.081,7.958,1.123,0.126292,0.0385913,8.954,7.686,1.268,34,21,train,val,train,val,train,train,test,train,val,train
5556,2020_Townsend,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H]2CCCN2C1=O,hepta_1979,5556,-10.0,7,7,Circle,0.162357,0.055185,-29.6576,9.26,7.995,1.265,0.130722,0.0594726,8.929,7.931,0.998,61,32,train,train,train,train,train,train,train,train,train,train
5555,2020_Townsend,CC(C)C[C@H]1C(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N[C@H](CC(C)C)C(=O)N1C,hepta_1978,5555,-5.47,7,7,Circle,0.144211,0.0475248,-26.1767,9.12,7.853,1.267,0.147814,0.0460815,9.065,8.047,1.018,82,19,train,train,train,train,train,train,train,train,train,train
5554,2020_Townsend,CC(C)C[C@H]1C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](C)C(=O)N1C,hepta_1977,5554,-5.81,7,7,Circle,0.111937,0.0459602,-23.2237,8.927,7.714,1.213,0.123377,0.0504966,9.065,8.008,1.057,44,49,train,train,train,train,train,train,test,train,train,test
5553,2020_Townsend,CC(C)C[C@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H]2CCCN2C1=O,hepta_1976,5553,-5.1,7,7,Circle,0.124272,0.0427883,-23.914,9.084,7.975,1.109,0.118876,0.0439941,9.219,8.003,1.216,99,28,train,val,train,val,test,test,train,train,train,val
5552,2020_Townsend,CC(C)C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC1=O,hepta_1975,5552,-5.57,7,7,Circle,0.121434,0.0477067,-19.617,9.015,7.912,1.103,0.114584,0.0421336,9.077,7.955,1.122,27,65,train,test,train,train,train,train,train,train,train,train
5551,2020_Townsend,CC(C)C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)NC1=O,hepta_1974,5551,-5.47,7,7,Circle,0.140185,0.0495947,-23.7782,8.926,7.561,1.365,0.12775,0.0455628,8.798,7.567,1.231,52,21,train,train,train,train,train,train,val,test,test,train
5550,2020_Townsend,CC(C)C[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,hepta_1973,5550,-5.83,7,7,Circle,0.141446,0.0482338,-31.4718,9.519,8.277,1.242,0.144168,0.0328833,9.099,7.817,1.282,100,35,train,test,val,train,train,train,train,train,train,train
5549,2020_Townsend,CC(C)C[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)NC(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,hepta_1972,5549,-6.1,7,7,Circle,0.119101,0.0382579,-28.9339,8.699,7.406,1.293,0.103641,0.0360605,8.567,7.487,1.08,92,39,train,train,train,test,train,test,train,train,val,test
5548,2020_Townsend,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H]2CCCN2C1=O,hepta_1971,5548,-5.24,7,7,Circle,0.132078,0.0379404,-26.364,8.926,7.749,1.177,0.140208,0.0368822,8.543,7.652,0.891,97,90,train,train,train,train,test,train,train,train,train,train
5547,2020_Townsend,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H]2CCCN2C1=O,hepta_1970,5547,-5.95,7,7,Circle,0.116456,0.0434529,-26.1116,8.957,7.735,1.222,0.145499,0.0456802,8.922,7.74,1.182,73,96,val,train,train,test,train,train,train,train,train,train
5546,2020_Townsend,CC(C)C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)N(C)C1=O,hepta_1969,5546,-5.82,7,7,Circle,0.144059,0.0489005,-28.5066,9.098,7.824,1.274,0.154462,0.0490731,8.758,7.656,1.102,17,37,test,train,train,train,test,train,train,train,train,train
5545,2020_Townsend,CC(C)C[C@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)NC1=O,hepta_1968,5545,-5.94,7,7,Circle,0.112588,0.0396053,-28.2881,9.182,8.047,1.135,0.118381,0.0422659,9.135,7.999,1.136,61,12,train,test,train,train,train,train,train,train,train,train
5544,2020_Townsend,CC(C)C[C@H]1NC(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)NC(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,hepta_1967,5544,-5.7,7,7,Circle,0.112205,0.0462169,-25.1409,8.974,7.748,1.226,0.114095,0.0404576,8.937,7.686,1.251,80,5,train,train,train,train,train,train,train,train,val,train
5543,2020_Townsend,CC(C)C[C@H]1NC(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,hepta_1966,5543,-5.77,7,7,Circle,0.119357,0.0448787,-27.7224,9.115,7.932,1.183,0.128125,0.0367069,8.84,7.624,1.216,9,15,train,train,train,train,train,train,train,train,test,train
5542,2020_Townsend,CC(C)C[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](C)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,hepta_1965,5542,-10.0,7,7,Circle,0.140145,0.0494412,-30.4106,9.225,7.966,1.259,0.124296,0.0339609,8.557,7.687,0.87,67,85,train,train,test,train,val,train,train,train,train,train
5540,2020_Townsend,CC(C)C[C@H]1C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N1C,hepta_1963,5540,-5.57,7,7,Circle,0.160663,0.0531112,-33.4742,9.015,7.902,1.113,0.125993,0.0405256,9.008,7.855,1.153,85,47,train,train,train,train,train,train,train,train,train,train
5539,2020_Townsend,CC(C)C[C@H]1C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@H](C)C(=O)N1C,hepta_1962,5539,-10.0,7,7,Circle,0.132713,0.0439841,-31.389,9.276,8.237,1.039,0.128639,0.0463504,9.179,8.011,1.168,8,50,train,train,train,train,train,val,train,train,train,train
5536,2020_Townsend,CC(C)C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H]2CCCN2C(=O)CN(Cc2ccccc2)C1=O,hepta_1959,5536,-5.8,7,7,Circle,0.179716,0.069064,-35.1817,9.008,7.813,1.195,0.166322,0.0644496,9.052,8.015,1.037,99,47,train,val,train,val,train,train,train,train,train,train
5535,2020_Townsend,CC(C)C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccccc2)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C1=O,hepta_1958,5535,-6.3,7,7,Circle,0.182745,0.0641151,-31.1041,9.173,7.952,1.221,0.184118,0.0564817,8.986,7.773,1.213,78,21,train,train,train,test,train,train,test,train,train,train
5534,2020_Townsend,CC(C)C[C@H]1C(=O)N2CCC[C@@H]2C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N1C,hepta_1957,5534,-5.37,7,7,Circle,0.14233,0.0461766,-24.8548,9.204,8.06,1.144,0.151966,0.0458794,9.031,7.863,1.168,47,51,train,train,train,train,train,train,train,train,train,train
5533,2020_Townsend,CC(C)C[C@H]1C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@H](C)C(=O)N[C@H](CC(C)C)C(=O)N1C,hepta_1956,5533,-5.8,7,7,Circle,0.132526,0.0446432,-45.8448,9.022,7.644,1.378,0.176853,0.0633566,9.117,7.887,1.23,47,2,train,train,test,test,val,train,train,train,train,train
5532,2020_Townsend,CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@H](C)C(=O)N[C@H](CC(C)C)C(=O)N(Cc2ccccc2)CC(=O)N2CCC[C@@H]2C(=O)N1C,hepta_1955,5532,-5.71,7,7,Circle,0.151527,0.0569438,-31.6599,9.086,7.78,1.306,0.116094,0.0573287,9.035,7.793,1.242,44,25,train,train,train,test,train,train,train,train,train,train
5531,2020_Townsend,CC(C)C[C@H]1C(=O)N[C@H](CC(C)C)C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccccc2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@H](C)C(=O)N1C,hepta_1954,5531,-5.77,7,7,Circle,0.137876,0.0548737,-43.3462,9.43,8.05,1.38,0.146618,0.0470193,8.941,7.712,1.229,24,4,train,train,val,train,train,test,train,val,train,train
5529,2020_Townsend,CC(C)C[C@H]1C(=O)N2CCC[C@@H]2C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N1C,hepta_1952,5529,-5.55,7,7,Circle,0.117519,0.0490598,-22.2554,9.343,8.172,1.171,0.128319,0.0461298,9.081,7.928,1.153,23,38,train,train,train,train,train,train,train,train,train,train
